indicatorvalue,panel,panelnum,unit,unitnum,stubname,stubnamenum,stublabelnum,stublabel,yearvalue,yearnum,age,agenum,estimate,se,flagvalue
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,1999-2002,2,12-19 years,0.3,16.0,0.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,2001-2004,3,12-19 years,0.3,17.0,1.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,2003-2006,4,12-19 years,0.3,17.6,1.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,2005-2008,5,12-19 years,0.3,17.9,1.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,2007-2010,6,12-19 years,0.3,18.2,1.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,2009-2012,7,12-19 years,0.3,19.4,1.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,2011-2014,8,12-19 years,0.3,20.5,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,2013-2016,9,12-19 years,0.3,20.6,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,2015-2018,10,12-19 years,0.3,20.9,1.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,1988-1994,1,12-19 years,0.3,10.3,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,1999-2002,2,12-19 years,0.3,13.7,1.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2001-2004,3,12-19 years,0.3,16.3,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2003-2006,4,12-19 years,0.3,16.0,1.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2005-2008,5,12-19 years,0.3,15.1,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2007-2010,6,12-19 years,0.3,15.9,1.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2009-2012,7,12-19 years,0.3,17.8,1.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2011-2014,8,12-19 years,0.3,19.6,2.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2013-2016,9,12-19 years,0.3,17.2,2.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2015-2018,10,12-19 years,0.3,15.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,1988-1994,1,12-19 years,0.3,13.4,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,1999-2002,2,12-19 years,0.3,21.1,1.2,-
