crimeid_UK_CSV0000000000000587,monthvalue_UK_CSV0000000000000587,reportedby,fallswithin,longitude,latitude,locationvalue,lsoacode,lsoaname,outcometype,crimeid_UK_CSV0000000000007347,monthvalue_UK_CSV0000000000007347
df9055daa31e190227d06d7558e182b2ec892bf5f25303513d408673581feb68,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.125904,52.204624,On or near PARKER STREET,E01032797,Cambridge 007G,Unable to prosecute suspect,,
bdc0e3e600bd2dad30c1fb5678a40aec9f9b2eefd3c7ccd3ea1e9c344acdc420,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.136952,52.229908,On or near Supermarket,E01017977,Cambridge 001C,Investigation complete; no suspect identified,,
38a8157a36709d5b9fffa316a7583905d22b92036ca17d93675552e865211781,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Suspect charged,,
8b61787c411a29799abb7a3de870bce6ee9daea3bd747e1aafd70b5c8c4c2b50,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.286644,52.598771,On or near ESSENDYKE,E01015592,Peterborough 011B,Unable to prosecute suspect,,
5238a6a416a04c3c67bc5a0e0901d708d7e4021e69227050feb697d56fc23c70,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.20098,52.387626,On or near CLOVER END,E01018038,East Cambridgeshire 005C,Investigation complete; no suspect identified,,
8a77cf68f38b442750b90a977d3a7cd9e0576fd2f16b878ad46aa5f49a55cd99,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.169098,52.656146,On or near WILLOW WAY,E01018069,Fenland 003A,Suspect charged,,
922b4d2f3e7801239b8444261285fea72021224af978dacd314f8b12154037f0,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Unable to prosecute suspect,,
91d362b4665847c2e172d516771fd1730c21d76133e55244efd8805f1704fc2b,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.116788,52.218213,On or near HALE AVENUE,E01017949,Cambridge 002A,Investigation complete; no suspect identified,,
319e064ee36133f494476e2ba041e33a75cce74b704c86159fc81946e07bc016,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Unable to prosecute suspect,,
db18a56464d79c2cd9b6a7bc0b198c897eae402fc0d50520dd94b007c9b15d6f,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified,,
e2682f0f1e58600b9df97eba019757ec48730696dcd696f7998ca1c49862709b,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.139562,52.208046,On or near ABBEY STREET,E01017943,Cambridge 006A,Unable to prosecute suspect,,
bce2ccd34f3c4c4b7fa3fcf1ec68326b761416adb9346ea059318d33b8e11898,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.217567,52.217288,On or near CHURCH ROAD,E01018297,South Cambridgeshire 007D,Investigation complete; no suspect identified,,
29fd5d952480c23bb5f4a274bf3338c6e2d754384cde7b992fb16f772f91d1bd,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241009,52.56952,On or near Pedestrian Subway,E01015599,Peterborough 014A,Suspect charged,,
eb9d682b940603801a78c8b7976f0fe43b99e5325df056c241d8b6cf17c23cd6,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.265534,52.22,On or near MAPLE CLOSE,E01018011,East Cambridgeshire 009A,Investigation complete; no suspect identified,,
934cc0e2a1d7f5818c6d48956c89e241a58c194b635da0b699cda26ff22cb2c0,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.18033,52.270306,On or near PEMBROKE AVENUE,E01018299,South Cambridgeshire 004B,Investigation complete; no suspect identified,,
a806a1a259794752d301409526c6523816a1dea4b131aa4fa36f662d432b3cbf,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.148114,52.145612,On or near COX'S CLOSE,E01018295,South Cambridgeshire 012D,Investigation complete; no suspect identified,,
997c586d099a3c3603924bfe84e3b5e7a0b4741c4d080252ca2fbb939c4c8ec0,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.115466,52.215665,On or near VICTORIA ROAD,E01017949,Cambridge 002A,Investigation complete; no suspect identified,,
e2b1dca963b8fbb56b910e10bfb50f4b19553b64623a64326297c89854bc4978,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.107579,52.167798,On or near Parking Area,E01018003,Cambridge 012B,Unable to prosecute suspect,,
