isp,you_tube_startup_delay_peak,webloading_two_fourh,packet_losspeak,download_two_zero_two_onepm,upload_two_fourmaxave,download_one_two_one_eightpm,you_tube_sd_two_fourhr,latency_two_fourh,region,i_player_uhd_two_fourhr,upload_two_fourminave,technology,dns_failurepeak,unitid,downloadpeakminave,dns_ratepeak,i_player_sd_two_fourhr
Sky,1079.92,538.15,0.02%,34.02,9.23,34.28,3.57%,11.04,East,0.00%,9.06,FTTC,1.23%,813825.0,33.32,27.91,0.00%
Verizon,560.68,83.43,0.01%,298.66,48.2,308.59,7.29%,8.75,Yorkshire & Humberside,0.00%,47.73,FTTP,0.00%,656662.0,299.08,9.07,0.00%
Verizon,2341.24,2737.7,0.05%,1.37,0.37,1.37,100.00%,32.43,North West,0.00%,0.34,ADSL1,0.00%,942412.0,1.36,35.34,100.00%
Virgin,1348.99,505.81,0.02%,9.52,0.81,9.44,3.80%,34.73,North East,0.00%,0.76,ADSL2,0.11%,813075.0,9.45,25.63,0.00%
Virgin,448.79,141.83,0.00%,65.2,15.75,65.22,3.09%,15.65,North West,0.00%,15.6,FTTC,0.00%,941228.0,65.14,7.33,0.00%
Verizon,985.7,136.65,0.03%,38.72,14.1,39.21,3.49%,11.66,South East,0.00%,12.91,FTTC,0.00%,182562.0,37.1,13.57,0.00%
Comcast,996.45,204.9,0.06%,28.76,9.26,28.67,3.24%,17.7,North West,0.00%,9.08,FTTC,0.00%,147664.0,28.37,20.06,0.00%
Verizon,1000.68,322.64,0.00%,46.54,9.2,47.32,3.50%,9.94,North West,0.00%,8.84,FTTC,0.00%,812708.0,45.32,11.18,0.00%
Verizon,951.63,121.0,0.01%,42.68,16.64,42.74,3.48%,8.11,East,0.00%,16.51,FTTC,0.00%,147138.0,42.63,10.38,0.00%
Sky,501.78,217.33,0.12%,29.86,5.76,29.82,3.74%,12.71,East,0.00%,4.92,FTTC,0.00%,974970.0,29.31,11.16,0.28%
Comcast,1052.13,279.65,0.01%,72.38,5.06,72.26,3.64%,24.54,East,0.00%,4.75,Cable,0.00%,156136.0,70.44,27.24,0.00%
AT&T,2197.73,998.55,0.16%,3.71,1.08,3.53,16.52%,15.58,East,0.00%,0.92,ADSL1,2.22%,821173.0,3.26,27.68,100.00%
