indicatorvalue,panel,panelnum,unit,unitnum,stubname,stubnamenum,stublabelnum,stublabel,yearvalue,yearnum,age,agenum,estimate,se,flagvalue
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2009-2012,7,2-5 years,0.1,11.0,1.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2011-2014,8,2-5 years,0.1,7.7,1.7,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2013-2016,9,2-5 years,0.1,10.4,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2015-2018,10,2-5 years,0.1,12.7,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,1988-1994,1,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,1999-2002,2,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2001-2004,3,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2003-2006,4,2-5 years,0.1,10.0,2.9,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2005-2008,5,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2007-2010,6,2-5 years,0.1,5.8,1.5,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2009-2012,7,2-5 years,0.1,5.0,1.3,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2011-2014,8,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2013-2016,9,2-5 years,0.1,8.2,2.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2015-2018,10,2-5 years,0.1,6.6,1.7,-
