crimeid,monthvalue,reportedby,outcometype,latitude,fallswithin,locationvalue
8e3f44dfb3c5b165ee4caad5c27de83281c33db1e2d33d8a1e025c0d66bf9f6c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a04dd9a07ffabc2d543d91a6730b52588ffb4fcc30f8cf4d67aed4f66e185a98,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
15ed5776d06f7b4706eb827b6eed8dffd2aad4a3164a639dfeaa6eb15a2d3183,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
f5586e7d56f009ed2bb4ea8b8724a859e468ae1790fe5f696c9b813dabf5d1eb,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
755ab9da0975273a1ef9af72cd668661d0284699c2fef658f92593145497aad9,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
cfbcd42165cec3dad4f4418cfc41b6cb63f40c6e1c7d7163612491ef81b456d0,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
3fa6ecd81c2c0554287dd2e00b0976c7681c78a5cd4ef4bc146e13755b810e00,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
7115fb9ce14f9b1fda59b9b991d20b0643a01572900e7baafa9ea7ea06ba8aa0,2023-05,Gloucestershire Constabulary,Action to be taken by another organisation,51.864813,Gloucestershire Constabulary,No location
a92775eff62196c0361e9a561e5c62cbdf17d3933cc469378b41c63ca645f161,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
09f44982ca1e95445823b740a85419bf44b428c9bb74452e25a68bc5e22470c6,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
d85fb164eb5079c889f0ec929c0f80075646389f266fa7e614deee748c6f4620,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
9a1d61aa88d4ef5ddc1d0f82d16cb0b356da27a05ad748b014e699c22d915285,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
86fa749dc701e341cdb7224d077bd3629220e980b682d1086cf9ca338f4a60a8,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
732bc00b95587ef9a43db77ae51a439d96350b72a6274fe31eba9e13e0edeb01,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
52485b665210d7332365e24e7ab34062d49ed6dcaf352fe23bf2e6dfb16875be,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
999cdceee47d7af635b35ede88f1930598278c97819d29f66d0d9500e31696b0,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
659bf516dab7be28620389113f3bf0f10d45a5b344637f4dfe7d89c689c57727,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
5f699fecde2e1927408ce1e79d7311501e6e31bda633fff88dbd01ffcd59386b,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
783f25a1ea61aec71afa95e3ac12c27978ebff2379499a860a06b5c9d944febf,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
8aaa0453ff344e80773734d68b7776db54cd1d626c68214dee89afc1d5e84ab3,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
7842c3c3994b75cdefde3b3d98e996aeed676c722c6d04f9e541ebacf54799e8,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
c8e20b0ecfe5279a44e5c5f9ef158428dc1c751f7ed8eee081fc33dd2d57de65,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.71573,Gloucestershire Constabulary,On or near Maplefield
fe58d709fb02685b4c70b8c0c09c92972a4caf38773a1173a8a59c24147d08df,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
9d40f3f7c07bd0e9e4999c0795b02f0f8b77adea8fb5912d6b6b822f53978ef5,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,On or near
505a6a1c1332a56ea6723541f337b2498b687c3c5077e65a4d57a8218d915170,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.866823,Gloucestershire Constabulary,On or near College Street
e627871dd1e0202f11906767ffb6808236d5e46f678c944373f2cd2d15d13ba7,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
629df9a2300af8aea34036ab5ec28d1c783e6f3e0a13f033352888b20e09a5e8,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
2f872b767ccb8a33925069126dec715df2223fb996df3ff8941481e8279df8c7,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
ffb7baf3e58d2a0545d09ad0a666de5ff7c5ddfdf0f9d04f7d64f285de832f86,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
5e2df8a8702f9a23be32108b6d3799960fd654906a3cbbf04821f4ab97e280d4,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
c54078b6fa4b0d4369257a0137dca295568583fc54cd5e1012577fe184a13e59,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
fbe238557a5a4d649d04641d17c3a6d744085d2ae0c63b77d987cb9c8e8c41e5,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
306893fe46e8d4f11852e7694118c3d9a501e6a8e15e9500e3daf5fd35725aaf,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
