agency_number,agency_name,class_field,class_description,statutory_reference,calendar_year,monthvalue,total_amount
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,245,Comm-Based Substance Abuse Rev,"TITLE 43A, SEC. 2-311",2012,3,$848404.00
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,250,Prevention of Youth Access to,,2012,3,$38154.08
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,260,MAC Disallowance Fund,,2012,3,$2055959.27
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,300,Tobacco Settlement Fund,"TITLE 62, SECTION 50",2012,3,$0.00
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,340,CMIA Programs Disbursing Fund,"TITLE 62, SECTIONS 34.48 AND 34.9",2012,3,$155298.78
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,405,Fed Library Fund Title Iv-A,"TITLE 62, SEC. 41.8 AND TITLE 43A, SEC. 2-105",2012,3,$0.00
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,410,Federal Funds,"TITLE 62, SECTIONS 34.48 AND 34.9",2012,3,$563529.37
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,440,Federal Funds,"TITLE 62, SECTIONS 34.48 AND 34.9",2012,3,$64025.00
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,442,Interagency Reimbursement Fund,"TITLE 43A, SEC. 2-310",2012,3,$1477783.83
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2012,3,$0.00
46100.0,ROGERS STATE UNIVERSITY,290,Edu & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2012,3,$9810113.46
46100.0,ROGERS STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$573327.27
46100.0,ROGERS STATE UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$878217.25
46100.0,ROGERS STATE UNIVERSITY,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2012,3,$0.00
46100.0,ROGERS STATE UNIVERSITY,460,Donation Fund For Cap Improve,"TITLE 70, SECTION 3305F",2012,3,$1553.97
46100.0,ROGERS STATE UNIVERSITY,479,Capital Bond Projects,,2012,3,$0.00
46100.0,ROGERS STATE UNIVERSITY,480,2007 Student Facility Rev Bond,,2012,3,$0.00
46100.0,ROGERS STATE UNIVERSITY,490,American Recov. & Reinv. Act,,2012,3,$0.00
47000.0,MURRAY STATE COLLEGE,290,Edu & Gen Op Revolv Fund,"TITLE 70, SEC. 3901",2012,3,$2248204.27
47000.0,MURRAY STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$671512.19
47000.0,MURRAY STATE COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$81301.61
47000.0,MURRAY STATE COLLEGE,444,Auxiliary Travel & Payroll,"TITLE 62, SEC. 7.5",2012,3,$30.00
47000.0,MURRAY STATE COLLEGE,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2012,3,$0.10
47000.0,MURRAY STATE COLLEGE,479,Capital Bond Projects,,2012,3,$4611.71
47000.0,MURRAY STATE COLLEGE,490,American Recov. & Reinv. Act,,2012,3,$0.00
47500.0,OKLA. MOTOR VEHICLE COMM.,200,Revolving Fund,"TITLE 62, SEC. 155",2012,3,$810357.53
47700.0,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,210,Bureau Of Narcotics Rev Fund,"TITLE 63, SEC. 2-107",2012,3,$4241577.64
47700.0,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,215,Narcotics Drug Education Rev F,,2012,3,$60381.91
47700.0,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,220,Drug Money Laundering and Wire,,2012,3,$3465649.87
47700.0,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,410,Federal Seizures Fund,"TITLE 62, SEC. 34.48",2012,3,$333428.23
47700.0,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,415,Crime Commission Grants,"TITLE 62, SEC. 34.48",2012,3,$5465.29
