object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
2150,706982,2020/10/14 03:59:59+00,BUMPER TO BUMPER,4106 BISHOP LN,40218.0,2020/10/15 03:59:59+00,7,FIELD
2151,707107,2020/10/16 03:59:59+00,ARBY'S,5329 DIXIE HWY,40216.0,2020/10/19 03:59:59+00,7,FIELD
2152,707110,2020/10/16 03:59:59+00,TINO'S TREE SERVICE,108 N 9TH ST,40202.0,2020/10/19 03:59:59+00,7,FIELD
2153,707369,2020/10/21 03:59:59+00,DAIRY QUEEN,11806 SHELBYVILLE RD,40243.0,2020/10/22 03:59:59+00,7,FIELD
2154,707445,2020/10/22 03:59:59+00,K & K SERVICES,1015 REEVES RD,40219.0,2020/11/05 05:00:00+00,7,FIELD
2155,707639,2020/10/27 03:59:59+00,BETTERWAY DELI - #4,4001 CANE RUN RD,40216.0,2020/10/28 03:59:59+00,7,FIELD
2156,707640,2020/10/27 03:59:59+00,MEIJER #160 GAS,4600 S HURSTBOURNE PKWY,40299.0,2020/10/28 03:59:59+00,7,FIELD
2157,707646,2020/10/27 03:59:59+00,FIFTH THIRD BANK,2207 HOLIDAY MANOR CENTER,40222.0,2020/10/29 03:59:59+00,7,FIELD
2158,708085,2020/11/02 05:00:00+00,KEY LIQUORS,9409 SMYRNA PKWY #A,40229.0,2020/11/05 05:00:00+00,7,FIELD
2159,708150,2020/11/03 05:00:00+00,WALMART #589,11901 STANDIFORD PLAZA DR,40229.0,2020/11/04 05:00:00+00,7,FIELD
2160,708197,2020/11/04 05:00:00+00,SE CHRISTIAN CHURCH,920 BLANKENBAKER PKWY,40299.0,2020/11/13 05:00:00+00,7,FIELD
2161,708384,2020/11/06 05:00:00+00,AMAZON DELIVERY STATION,7230 GLOBAL DR,40258.0,2020/11/07 05:00:00+00,7,FIELD
2162,708528,2020/11/09 05:00:00+00,OKOLONA BAPTIST CHURCH,9301 PRESTON HWY,40229.0,2020/11/25 05:00:00+00,7,FIELD
2163,708535,2020/11/09 05:00:00+00,KENY TOWERY'S TIRE & AUTO CARE,10006 BROWNSBORO RD,40241.0,2020/11/10 05:00:00+00,7,FIELD
2164,708667,2020/11/11 05:00:00+00,"WARREN TECHNOLOGY, INC",1932 CAMPUS PL,40299.0,2020/11/17 05:00:00+00,7,FIELD
2165,708780,2020/11/12 05:00:00+00,POPEYE'S,3317 BARDSTOWN RD,40218.0,2020/11/17 05:00:00+00,7,FIELD
2166,708811,2020/11/13 05:00:00+00,LASHTASTIC OF LOUISVILLE EYELASH EXTENTIONS,2704 FRANKFORT AVE,40206.0,2020/12/22 05:00:00+00,7,FIELD
2167,708844,2020/11/14 05:00:00+00,PIER 17 CAJUN SEAFOOD & BAR,1975 S HURSTBOURNE PKWY,40220.0,2020/11/16 05:00:00+00,7,FIELD
2168,708983,2020/11/09 05:00:00+00,SUNERGOS COFFEE,231 S 5TH ST,40202.0,2020/11/09 05:00:00+00,7,FIELD
2169,708987,2020/11/16 05:00:00+00,PANERA BREAD #826,6221 DUTCHMANS LN,40207.0,2020/11/19 05:00:00+00,7,FIELD
2170,709041,2020/11/16 05:00:00+00,KROGER L-292,7509 TERRY RD,40258.0,2020/11/17 05:00:00+00,7,FIELD
2171,709664,2020/11/20 05:00:00+00,TACO BELL,6306 GREENWOOD RD,40258.0,2020/11/20 05:00:00+00,7,FIELD
2172,709880,2020/11/20 05:00:00+00,BILLIARDS CLUB OF LOUISVILLE,5404 BARDSTOWN RD,40291.0,2020/11/20 05:00:00+00,7,FIELD
2173,709973,2020/11/20 05:00:00+00,WENDYS,1201 W BROADWAY,40212.0,2020/11/24 05:00:00+00,7,FIELD
2174,710193,2020/11/24 05:00:00+00,ANGEL HOUSE CHILD DEVELOPMENT CENTER,10407 TAYLORSVILLE RD,40299.0,2020/11/24 05:00:00+00,7,FIELD
2175,710345,2020/11/24 05:00:00+00,DAIRY QUEEN,5516 NATIONAL TURNPIKE,40214.0,2020/12/02 05:00:00+00,7,FIELD
2176,710595,2020/11/30 05:00:00+00,PLANT FITNESS,3036 BARDSTOWN RD,40218.0,2020/12/02 05:00:00+00,7,FIELD
2177,710822,2020/12/02 05:00:00+00,STRIKE AND SPARE FAMILY FUN CENTER,6220 OLD SHEPHERDSVILLE RD,40228.0,2020/12/09 05:00:00+00,7,FIELD
2178,711001,2020/11/19 05:00:00+00,LIQUOR BARN #980,4131 TOWNE CENTER DR,40241.0,2020/11/19 05:00:00+00,7,FIELD
2179,711296,2020/12/04 05:00:00+00,CUNNINGHAM'S CREEKSIDE,6301 UPPER RIVER RD,40027.0,2020/12/04 05:00:00+00,7,FIELD
2180,711558,2020/12/08 05:00:00+00,AUTOZONE AUTO PARTS,9202 WESTPORT RD,40242.0,2020/12/08 05:00:00+00,7,FIELD
2181,711641,2020/12/02 05:00:00+00,HEINE BROTHERS COFFEE,822 EASTERN PKWY,40217.0,2020/12/02 05:00:00+00,7,FIELD
2182,711739,2020/12/08 05:00:00+00,DERBY CITY PIZZA,5603 GREENWOOD RD,40258.0,2020/12/09 05:00:00+00,7,FIELD
